id,x,y,AEM_Re,AEM_ReIm,AM_DGRF
328,482060.20816556,6949425.37020463,-7.73245,-0.109398,-204.884995
329,482560.20816556,6949425.37020463,45.197201,1.05421,-212.251007
330,483060.20816556,6949425.37020463,64.969902,2.37187,-374.743011
331,483560.20816556,6949425.37020463,34.019901,0.200386,-431.295013
332,484060.20816556,6949425.37020463,19.034401,0.064133,-444.753998
333,484560.20816556,6949425.37020463,59.423,0.183562,-296.234985
334,485060.20816556,6949425.37020463,120.461998,0.217931,-388.591003
335,485560.20816556,6949425.37020463,-0.424828,-0.050515,-285.765991
336,486060.20816556,6949425.37020463,322.105011,0.737165,146.401001
337,486560.20816556,6949425.37020463,111.208,0.337576,54.230499
338,487060.20816556,6949425.37020463,334.774994,0.759082,590.619995
339,487560.20816556,6949425.37020463,-56.403599,-0.326626,323.351013
340,488060.20816556,6949425.37020463,54.860401,0.597782,-412.127991
341,488560.20816556,6949425.37020463,-7.55637,0.616812,-389.812012
342,489060.20816556,6949425.37020463,-5.85678,-0.01216,-295.195007
343,489560.20816556,6949425.37020463,27.5319,0.174048,-185.132996
344,490060.20816556,6949425.37020463,604.471008,0.887316,500.108002
345,490560.20816556,6949425.37020463,451.841003,1.3876,-75.274902
346,491060.20816556,6949425.37020463,10.981,0.05878,-381.552002
347,491560.20816556,6949425.37020463,380.90799,0.43062,157.718002
348,492060.20816556,6949425.37020463,20.607599,0.817756,-167.028
349,492560.20816556,6949425.37020463,200.386002,0.410398,-484.390991
350,493060.20816556,6949425.37020463,189.914001,0.262096,-506.360992
351,493560.20816556,6949425.37020463,633.012024,0.678981,-482.597992
352,494060.20816556,6949425.37020463,624.078979,0.721718,-406.962006
353,494560.20816556,6949425.37020463,272.53299,0.535461,-525.504028
354,495060.20816556,6949425.37020463,24.3067,0.13791,-493.382996
355,495560.20816556,6949425.37020463,538.088013,0.795195,-464.42099
356,496060.20816556,6949425.37020463,124.801003,0.303569,-472.033997
357,496560.20816556,6949425.37020463,84.493797,0.266996,-307.619995
358,497060.20816556,6949425.37020463,38.587502,0.096051,-440.338989
359,497560.20816556,6949425.37020463,98.438301,0.224502,-340.098999
360,498060.20816556,6949425.37020463,25.0665,0.133577,-457.183014
361,498560.20816556,6949425.37020463,27.4778,0.093792,-545.999023
362,499060.20816556,6949425.37020463,66.287399,0.120737,-465.88501
363,499560.20816556,6949425.37020463,197.164001,0.277481,-358.143005
364,500060.20816556,6949425.37020463,144.666,0.386576,-421.437012
365,469060.20816556,6948925.37020463,2.26275,-0.001062,-130.720001
366,469560.20816556,6948925.37020463,20.241501,0.343792,-151.798996
367,470060.20816556,6948925.37020463,29.4233,0.334129,-176.942001
368,470560.20816556,6948925.37020463,-2.79715,-0.009224,-196.526001
369,471060.20816556,6948925.37020463,16.914301,0.100664,-222.632996
370,471560.20816556,6948925.37020463,17.0875,0.133828,-240.957993
371,472060.20816556,6948925.37020463,146.737,0.514969,-293.282013
372,472560.20816556,6948925.37020463,41.892899,0.880525,-240.401993
373,473060.20816556,6948925.37020463,24.7442,0.426516,-193.699997
374,473560.20816556,6948925.37020463,11.4547,0.128521,-156.410004
375,474060.20816556,6948925.37020463,17.5937,0.164853,-142.496994
376,474560.20816556,6948925.37020463,0.724232,-0.015666,-192.778
377,475060.20816556,6948925.37020463,-22.1775,-0.92767,-70.407204
378,475560.20816556,6948925.37020463,7.68341,0.686549,-21.342501
379,476060.20816556,6948925.37020463,16.706499,0.092409,-139.628998
380,476560.20816556,6948925.37020463,28.216299,0.245169,-207.332993
381,477060.20816556,6948925.37020463,6.65017,0.03364,-144.201004
382,477560.20816556,6948925.37020463,17.918699,0.400247,-273.270996
383,478060.20816556,6948925.37020463,-7.29871,-0.082986,-201.929001
384,478560.20816556,6948925.37020463,4.1323,0.133327,-176.076996
385,479060.20816556,6948925.37020463,30.2715,0.890858,-231.820999
386,479560.20816556,6948925.37020463,4.96417,0.038546,-76.060097
387,480060.20816556,6948925.37020463,-4.53951,0.017437,-247.589005
388,480560.20816556,6948925.37020463,59.931801,0.264093,-405.94101
389,481060.20816556,6948925.37020463,110.959,1.02195,-271.446014
390,481560.20816556,6948925.37020463,112.361,0.685634,-334.890015
391,482060.20816556,6948925.37020463,41.433201,0.358378,-258.375
392,482560.20816556,6948925.37020463,70.028603,0.241265,-370.580994
393,483060.20816556,6948925.37020463,70.747498,0.341779,-351.277008
394,483560.20816556,6948925.37020463,98.609001,0.270062,-269.859009
395,484060.20816556,6948925.37020463,19.163799,0.095556,-618.536011
396,484560.20816556,6948925.37020463,43.5625,0.156436,-644.598999
397,485060.20816556,6948925.37020463,41.410599,0.199747,-614.406982
398,485560.20816556,6948925.37020463,34.883801,0.103953,-595.044983
399,486060.20816556,6948925.37020463,30.974199,0.117427,-424.403015
400,486560.20816556,6948925.37020463,-9.32941,-0.023597,-113.361
401,487060.20816556,6948925.37020463,21.957199,-0.010769,-244.459
402,487560.20816556,6948925.37020463,-12.2899,-0.071744,-74.795799
403,488060.20816556,6948925.37020463,29.147499,0.293857,-228.886002
